Date,FMAC/HPI_AL,FMAC/HPI_AK,FMAC/HPI_AZ,FMAC/HPI_AR,FMAC/HPI_CA,FMAC/HPI_CO,FMAC/HPI_CT,FMAC/HPI_DE,FMAC/HPI_FL,FMAC/HPI_GA,FMAC/HPI_HI,FMAC/HPI_ID,FMAC/HPI_IL,FMAC/HPI_IN,FMAC/HPI_IA,FMAC/HPI_KS,FMAC/HPI_KY,FMAC/HPI_LA,FMAC/HPI_ME,FMAC/HPI_MD,FMAC/HPI_MA,FMAC/HPI_MI,FMAC/HPI_MN,FMAC/HPI_MS,FMAC/HPI_MO,FMAC/HPI_MT,FMAC/HPI_NE,FMAC/HPI_NV,FMAC/HPI_NH,FMAC/HPI_NJ,FMAC/HPI_NM,FMAC/HPI_NY,FMAC/HPI_NC,FMAC/HPI_ND,FMAC/HPI_OH,FMAC/HPI_OK,FMAC/HPI_OR,FMAC/HPI_PA,FMAC/HPI_RI,FMAC/HPI_SC,FMAC/HPI_SD,FMAC/HPI_TN,FMAC/HPI_TX,FMAC/HPI_UT,FMAC/HPI_VT,FMAC/HPI_VA,FMAC/HPI_WA,FMAC/HPI_WV,FMAC/HPI_WI,FMAC/HPI_WY
1975-01-31,35.397735607,34.428823469,28.979368141,36.775520348,15.658282332999999,19.759573099,24.531841381,27.185281476999997,30.970449100000003,30.91170056,26.673368035,31.827384789,25.494916660999998,32.263047433000004,32.888396977,33.463590633,31.462277884000002,33.101479779,28.822243828,26.94053259,15.857880406,24.451934535,25.926455124,42.354272326,30.565357276999997,27.046712741999997,31.340886532,27.541812819,22.12279386,23.025574229,27.860202197,23.842585056,28.253816776999997,39.544877603,30.232670564,37.780766079,19.647975852000002,28.738975552,20.091236644000002,30.599959101,37.884496596,32.244423094,32.700239549,24.640281678,26.520529127,27.989344136,17.477368017,41.772212411,28.195286729,31.768706856999998
1975-02-28,35.612098904,34.939511286,29.448825348000003,37.118593621,15.709495101,19.948758796,25.056225273000003,27.215535597,32.207958122,30.618311102,26.59711665,31.839972025999998,25.736502698000002,32.835232755999996,33.432755521,33.846535147,31.494712118000002,33.702847255,28.562763489,26.852661549,15.764496264000002,24.798883039,26.036715785,42.03817864,31.917382557,27.357359935,31.311937594,28.022310671,22.469143710999997,22.464607928000003,28.274121904,23.34558862,28.55126598,39.46476247,30.326759033000002,37.762940233,20.148034529,29.065291342,20.506153327,31.010391392,37.468179712,32.286978303000005,33.026062521,24.983207224,26.772546059,28.275696643000003,17.546603798,42.604673719000004,28.576356034,32.173570197
1975-03-31,35.866035453,35.462251336,29.892635134000002,37.418280097,15.894529349,20.141838683,25.448378741,27.273622811,34.02332986,30.491503198,26.56919783,31.843720695,26.021580538000002,33.379283586999996,33.931351594,34.265293953000004,31.519757145,34.301324441999995,28.340726866999997,26.815525969,15.673366344000002,25.088840835,26.131946252,41.801677907,33.286429747,27.687762445,31.279788899,28.489280966,22.785055216,22.13391069,28.662372515,23.128053214,28.810479851999997,39.440804708,30.519776301999997,37.782054179,20.62450115,29.320222354000002,20.92813194,31.327331435,37.04455931,32.375325813,33.616159505,25.293115356999998,27.015834957,28.483046397,17.654693297,43.474764609,28.955643834,32.608906125
1975-04-30,36.180484055,36.007684356999995,30.237211557,37.654121799,16.204209117,20.333021998,25.661897394,27.401274485,36.241206446999996,30.554352418,26.614040564,31.843821488000003,26.319908471999998,33.775724279,34.336512968,34.684652037,31.589131346,34.747408082,28.18515277,26.872969283000003,15.606272248,25.285417021,26.240458756,41.696017548,34.397646066,28.02747197,31.246985954,28.926982416999998,23.04330525,22.110552723,28.971022585,23.140970196999998,29.033522486,39.54555081,30.768677776999997,37.798237321,21.057940997,29.524005553000002,21.355060916,31.518314134,36.624121734,32.505109905,34.471233359,25.540216685,27.237066616,28.629837243,17.782324359,44.385992554,29.298096141,33.074478875
1975-05-31,36.477366709,36.603318804000004,30.416856998000004,37.863877565,16.466740644,20.502582859,25.716631956,27.624390493000003,36.522058004,30.676059588,26.725471716999998,31.862042732,26.498727953000003,33.951544299,34.602111937,35.06854115,31.794806071,34.959552143,28.115149348000003,27.011358501,15.583523332,25.361520401,26.404569098000003,41.727147903,34.326321593,28.341928916999997,31.209134999999996,29.31910317,23.220020983,22.305070559,29.198043498,23.280546643,29.207019764,39.793534969,31.026564041999997,37.793722906,21.470165034,29.787025570999997,21.76922354,31.653283106,36.243932011,32.650872883000005,34.728195676999995,25.702734384,27.431862635999998,28.739892874000002,17.891772152,45.327024855,29.577892179000003,33.550343681
1975-06-30,36.635125396,37.240982665,30.36785139,38.076343188,16.588160216,20.654394009,25.670711542,27.892776953000002,34.909464984,30.714109591,26.869585189000002,31.893337023,26.59792448,33.927996566,34.758722038,35.353380545,32.170498134,35.044242684000004,28.145265308000003,27.185020513,15.614284692,25.317912551,26.621080791,41.85731436,33.22815292,28.608777593000003,31.161540445,29.652360458,23.301361185,22.588614305,29.394857588,23.530672543,29.318014353000002,40.168228127,31.281747634000002,37.792481251999995,21.865959924000002,30.093357903,22.124450887,31.826864145,35.961221698,32.803007049,34.298673879,25.750492164,27.60890103,28.839342418,18.001454962,46.247291559,29.787444309,34.026707033
1975-07-31,36.591715308000005,37.87877599,30.07312818,38.260028862,16.712827475999998,20.766483642,25.616094878000002,28.134629298000004,33.665746294,30.605825169000003,27.008728716,31.933823381,26.735611071999998,33.755243039,34.876226035,35.529239992,32.614059577,35.174157537,28.277038341,27.386781075,15.691037511,25.271067938,26.897485416,41.938213822,32.233531829,28.828522208000003,31.10775444,29.937837501,23.291649789,22.886597016,29.578773156,23.791227133000003,29.40996691,40.667560761,31.480644026999997,37.828651590999996,22.205267758,30.294586683000002,22.387907328,32.064035149,35.78526471,32.95569277,34.003074831,25.686879452,27.760909125,29.00047879,18.130665774,47.068757755,29.941707981,34.492446314
1975-08-31,36.386757716,38.460029159,29.617711295,38.371829327,16.932411374,20.776121638,25.605641074,28.341720044000002,33.06617016,30.355254144,27.112308968,31.991925065,26.87018631,33.475005646,34.958944199,35.678474849000004,32.982549105,35.390832573000004,28.490599635,27.599885081999997,15.774006273,25.353499916,27.200503936999997,41.879216147,31.673435843000004,29.002488274,31.089919187,30.215285936,23.231586356999998,23.084364792,29.708101134,23.906030806,29.560644096999997,41.287162434,31.56121394,37.934546228,22.459831971999996,30.210086156,22.572741481999998,32.31720013,35.665275906,33.122091474,33.96587952,25.585053153,27.868677465,29.18755183,18.222937338,47.729994987,30.065603221999996,34.920222726999995
1975-09-30,36.14164355,38.966568462,29.146923608,38.383188845999996,17.176471482,20.708701832,25.657148428000003,28.5135892,32.922647972,30.00662461,27.183326578000003,32.088093748,26.988842796,33.197855546,34.99055931,35.77814082,33.228480118,35.610543241,28.734434496,27.759691986999997,15.84156694,25.411804215,27.434184902,41.769706089,31.39595853,29.139892408,31.16489278,30.508691039000002,23.192245549000003,23.120669066999998,29.751337176,23.911554604000003,29.741089854000002,41.999264628,31.602393115,38.135346654,22.63408056,29.759117255,22.694999831,32.505275814,35.570898971,33.354439738,34.047659058,25.539576400999998,27.938033033000004,29.261470522,18.246880088,48.16928626,30.22772247,35.288867039
1975-10-31,36.012962895,39.426787936,28.890186976,38.358194581,17.402427525,20.678428512,25.772696687,28.624291469,33.056997314,29.722393683000004,27.233838997,32.302554441,27.140353855,33.141601935,35.046767044,35.818198095999996,33.364968355,35.798898091999995,28.920261066,27.900675191999998,15.877737728,25.296598501,27.518688975,41.733650862,31.205999156999997,29.263924113,31.357785428000003,30.810513843000003,23.216805376,23.040705256,29.740674328,23.925316554000002,29.89659743,42.721993293000004,31.721185379,38.476434292,22.741810016,29.201650923000003,22.749914456,32.558222096,35.51017501,33.708668655,34.172587965,25.666824071,27.985435337,29.226380599000002,18.278137932,48.349073115,30.430084357,35.570191138
